Channel	Q^2	W, GeV	Quantity	Uncertainty
pi+n	0.45	1.5	42.157770091798	1.82429720424077
pi+n	0.45	1.48	44.9925657653382	0.965592248213071
pi+n	0.45	1.46	40.7580734189343	0.646753261432152
pi+n	0.45	1.44	36.9061381562694	0.986704332745937
pi+n	0.45	1.42	36.5889684770185	1.39812855609548
pi+n	0.45	1.4	38.3431486661927	1.41899092045001
pi+n	0.45	1.38	40.1999034850374	1.05797695121635
pi+n	0.45	1.36	43.8460204359886	0.907433635907202
pi+n	0.45	1.34	49.4872977640076	1.23524573627258
pi+n	0.45	1.32	57.0804903272184	2.41523512480224
pi+n	0.45	1.3	65.900956530249	2.6063927863695
pi+n	0.45	1.28	80.4209107304904	2.0534480029858
pi+n	0.45	1.26	98.4811287130808	2.699618850525
pi+n	0.45	1.24	119.244492630113	3.39228193638953
pi+n	0.45	1.22	138.850533181498	4.6699190404543
pi+n	0.45	1.2	132.406006316831	5.84737000943615
pi+n	0.5	1.5	36.9219082014243	2.50288777619956
pi+n	0.5	1.48	42.1064703725842	1.10198431337723
pi+n	0.5	1.46	38.4085428031547	0.620734693951196
pi+n	0.5	1.44	34.9407580759204	0.999573799966324
pi+n	0.5	1.42	35.0676615510514	1.36520931193513
pi+n	0.5	1.4	37.4947454313738	1.71597575346913
pi+n	0.5	1.38	39.0015727212609	1.4242467424847
pi+n	0.5	1.36	40.9667391144136	0.918636621607304
pi+n	0.5	1.34	46.0043938632277	1.16792948730784
pi+n	0.5	1.32	54.8263331111974	3.35575700970201
pi+n	0.5	1.3	62.9837084187962	3.70435497717624
pi+n	0.5	1.28	76.2858842585709	1.96095896977478
pi+n	0.5	1.26	94.2644865983318	2.82885783337146
pi+n	0.5	1.24	109.659759894272	3.70620872141534
pi+n	0.5	1.22	123.969023220276	4.82565092731034
pi+n	0.5	1.2	120.360949073728	6.14559699372979
pi+n	0.55	1.4	32.0848147127508	1.84391776244197
pi+n	0.55	1.38	38.2648169297943	1.76652915813635
pi+n	0.55	1.36	40.5183012148192	1.29293448747361
pi+n	0.55	1.34	43.8883080258699	1.10646082286877
pi+n	0.55	1.32	50.7322380043829	2.38111222708416
pi+n	0.55	1.3	62.0364087144896	4.07759884649324
pi+n	0.55	1.28	73.7354806410835	3.27973313615403
pi+n	0.55	1.26	86.8201567573312	2.38851492310294
pi+n	0.55	1.24	101.465450700984	2.90607147259735
pi+n	0.55	1.22	111.835940578337	3.81694465517996
pi+n	0.55	1.2	108.819952762679	6.01658054271872
pi+n	0.6	1.4	27.2506008289016	1.96468153762539
pi+n	0.6	1.38	37.6863534534795	2.08204569002727
pi+n	0.6	1.36	40.203494133074	1.63673523920362
pi+n	0.6	1.34	42.0567857182772	1.05288466245017
pi+n	0.6	1.32	47.1046967539983	1.49693641163489
pi+n	0.6	1.3	61.2972935155665	4.42665605220822
pi+n	0.6	1.28	71.547918052095	4.49080325016632
pi+n	0.6	1.26	80.1765521687642	1.99050408149222
pi+n	0.6	1.24	94.1533094074952	2.17992604795441
