Channel	Q^2	W, GeV	Quantity	Uncertainty
F1	1.750000	1.200000	0.063607	0.000000
F1	1.750000	1.220000	0.079284	0.000000
F1	1.750000	1.240000	0.064945	0.000000
F1	1.750000	1.260000	0.051948	0.000000
F1	1.750000	1.280000	0.044456	0.000000
F1	1.750000	1.300000	0.033254	0.000000
F1	1.750000	1.320000	0.029573	0.000000
F1	1.750000	1.340000	0.026923	0.000000
F1	1.750000	1.360000	0.019000	0.000000
F1	1.750000	1.380000	0.025834	0.000000
F1	1.800000	1.200000	0.061246	0.000000
F1	1.800000	1.220000	0.075522	0.000000
F1	1.800000	1.240000	0.062212	0.000000
F1	1.800000	1.260000	0.049841	0.000000
F1	1.800000	1.280000	0.042648	0.000000
F1	1.800000	1.300000	0.032414	0.000000
F1	1.800000	1.320000	0.028914	0.000000
F1	1.800000	1.340000	0.026497	0.000000
F1	1.800000	1.360000	0.019513	0.000000
F1	1.800000	1.380000	0.025462	0.000000
F1	1.850000	1.200000	0.058751	0.000000
F1	1.850000	1.220000	0.071781	0.000000
F1	1.850000	1.240000	0.059436	0.000000
F1	1.850000	1.260000	0.047699	0.000000
F1	1.850000	1.280000	0.040830	0.000000
F1	1.850000	1.300000	0.031477	0.000000
F1	1.850000	1.320000	0.028163	0.000000
F1	1.850000	1.340000	0.025962	0.000000
F1	1.850000	1.360000	0.019803	0.000000
F1	1.850000	1.380000	0.024988	0.000000
F1	1.900000	1.200000	0.056189	0.000000
F1	1.900000	1.220000	0.068111	0.000000
F1	1.900000	1.240000	0.056663	0.000000
F1	1.900000	1.260000	0.045558	0.000000
F1	1.900000	1.280000	0.039026	0.000000
F1	1.900000	1.300000	0.030474	0.000000
F1	1.900000	1.320000	0.027348	0.000000
F1	1.900000	1.340000	0.025348	0.000000
F1	1.900000	1.360000	0.019915	0.000000
F1	1.900000	1.380000	0.024439	0.000000
F1	1.950000	1.200000	0.053612	0.000000
F1	1.950000	1.220000	0.064542	0.000000
F1	1.950000	1.240000	0.053931	0.000000
F1	1.950000	1.260000	0.043447	0.000000
F1	1.950000	1.280000	0.037255	0.000000
F1	1.950000	1.300000	0.029433	0.000000
F1	1.950000	1.320000	0.026491	0.000000
F1	1.950000	1.340000	0.024676	0.000000
F1	1.950000	1.360000	0.019884	0.000000
F1	1.950000	1.380000	0.023834	0.000000
F1	2.000000	1.200000	0.051056	0.000000
F1	2.000000	1.220000	0.061099	0.000000
F1	2.000000	1.240000	0.051264	0.000000
F1	2.000000	1.260000	0.041383	0.000000
F1	2.000000	1.280000	0.035529	0.000000
F1	2.000000	1.300000	0.028372	0.000000
F1	2.000000	1.320000	0.025610	0.000000
F1	2.000000	1.340000	0.023966	0.000000
F1	2.000000	1.360000	0.019738	0.000000
F1	2.000000	1.380000	0.023190	0.000000
F1	2.050000	1.200000	0.048550	0.000000
F1	2.050000	1.220000	0.057796	0.000000
F1	2.050000	1.240000	0.048680	0.000000
F1	2.050000	1.260000	0.039381	0.000000
F1	2.050000	1.280000	0.033859	0.000000
F1	2.050000	1.300000	0.027306	0.000000
F1	2.050000	1.320000	0.024718	0.000000
F1	2.050000	1.340000	0.023231	0.000000
F1	2.050000	1.360000	0.019503	0.000000
F1	2.050000	1.380000	0.022521	0.000000
F1	2.100000	1.200000	0.046113	0.000000
F1	2.100000	1.220000	0.054641	0.000000
F1	2.100000	1.240000	0.046191	0.000000
F1	2.100000	1.260000	0.037448	0.000000
F1	2.100000	1.280000	0.032249	0.000000
F1	2.100000	1.300000	0.026248	0.000000
F1	2.100000	1.320000	0.023827	0.000000
F1	2.100000	1.340000	0.022482	0.000000
F1	2.100000	1.360000	0.019197	0.000000
F1	2.100000	1.380000	0.021837	0.000000
F1	2.150000	1.200000	0.043758	0.000000
F1	2.150000	1.220000	0.051638	0.000000
F1	2.150000	1.240000	0.043805	0.000000
F1	2.150000	1.260000	0.035592	0.000000
F1	2.150000	1.280000	0.030704	0.000000
F1	2.150000	1.300000	0.025205	0.000000
F1	2.150000	1.320000	0.022942	0.000000
F1	2.150000	1.340000	0.021730	0.000000
F1	2.150000	1.360000	0.018837	0.000000
F1	2.150000	1.380000	0.021145	0.000000
F1	2.200000	1.200000	0.041495	0.000000
F1	2.200000	1.220000	0.048789	0.000000
F1	2.200000	1.240000	0.041525	0.000000
F1	2.200000	1.260000	0.033816	0.000000
F1	2.200000	1.280000	0.029225	0.000000
F1	2.200000	1.300000	0.024184	0.000000
F1	2.200000	1.320000	0.022072	0.000000
F1	2.200000	1.340000	0.020980	0.000000
F1	2.200000	1.360000	0.018435	0.000000
F1	2.200000	1.380000	0.020453	0.000000
F1	2.250000	1.200000	0.039328	0.000000
F1	2.250000	1.220000	0.046091	0.000000
F1	2.250000	1.240000	0.039354	0.000000
F1	2.250000	1.260000	0.032121	0.000000
F1	2.250000	1.280000	0.027814	0.000000
F1	2.250000	1.300000	0.023190	0.000000
F1	2.250000	1.320000	0.021221	0.000000
F1	2.250000	1.340000	0.020237	0.000000
F1	2.250000	1.360000	0.018003	0.000000
F1	2.250000	1.380000	0.019766	0.000000
F1	2.300000	1.200000	0.037260	0.000000
F1	2.300000	1.220000	0.043540	0.000000
F1	2.300000	1.240000	0.037291	0.000000
F1	2.300000	1.260000	0.030507	0.000000
F1	2.300000	1.280000	0.026468	0.000000
F1	2.300000	1.300000	0.022226	0.000000
F1	2.300000	1.320000	0.020390	0.000000
F1	2.300000	1.340000	0.019508	0.000000
F1	2.300000	1.360000	0.017548	0.000000
F1	2.300000	1.380000	0.019088	0.000000
F1	2.350000	1.200000	0.035292	0.000000
F1	2.350000	1.220000	0.041134	0.000000
F1	2.350000	1.240000	0.035334	0.000000
F1	2.350000	1.260000	0.028972	0.000000
F1	2.350000	1.280000	0.025188	0.000000
F1	2.350000	1.300000	0.021294	0.000000
F1	2.350000	1.320000	0.019584	0.000000
