Channel	Q^2	W, GeV	Quantity	Uncertainty
F2	1.750000	1.200000	0.017447	0.000000
F2	1.750000	1.220000	0.022319	0.000000
F2	1.750000	1.240000	0.025736	0.000000
F2	1.750000	1.260000	0.029708	0.000000
F2	1.750000	1.280000	0.030170	0.000000
F2	1.750000	1.300000	0.028147	0.000000
F2	1.750000	1.320000	0.031093	0.000000
F2	1.750000	1.340000	0.034672	0.000000
F2	1.750000	1.360000	0.035697	0.000000
F2	1.750000	1.380000	0.036348	0.000000
F2	1.750000	1.400000	0.035635	0.000000
F2	1.750000	1.420000	0.035288	0.000000
F2	1.750000	1.440000	0.037816	0.000000
F2	1.750000	1.460000	0.041300	0.000000
F2	1.750000	1.480000	0.048464	0.000000
F2	1.750000	1.500000	0.056765	0.000000
F2	1.750000	1.520000	0.060773	0.000000
F2	1.750000	1.540000	0.054258	0.000000
F2	1.750000	1.560000	0.044444	0.000000
F2	1.750000	1.580000	0.039633	0.000000
F2	1.750000	1.600000	0.036008	0.000000
F2	1.750000	1.620000	0.033736	0.000000
F2	1.750000	1.640000	0.035186	0.000000
F2	1.750000	1.660000	0.039194	0.000000
F2	1.750000	1.680000	0.042703	0.000000
F2	1.800000	1.200000	0.017919	0.000000
F2	1.800000	1.220000	0.022772	0.000000
F2	1.800000	1.240000	0.026084	0.000000
F2	1.800000	1.260000	0.029676	0.000000
F2	1.800000	1.280000	0.030159	0.000000
F2	1.800000	1.300000	0.028595	0.000000
F2	1.800000	1.320000	0.031408	0.000000
F2	1.800000	1.340000	0.034754	0.000000
F2	1.800000	1.360000	0.035888	0.000000
F2	1.800000	1.380000	0.036595	0.000000
F2	1.800000	1.400000	0.036182	0.000000
F2	1.800000	1.420000	0.036199	0.000000
F2	1.800000	1.440000	0.038880	0.000000
F2	1.800000	1.460000	0.042940	0.000000
F2	1.800000	1.480000	0.050852	0.000000
F2	1.800000	1.500000	0.059290	0.000000
F2	1.800000	1.520000	0.062592	0.000000
F2	1.800000	1.540000	0.055922	0.000000
F2	1.800000	1.560000	0.046539	0.000000
F2	1.800000	1.580000	0.041757	0.000000
F2	1.800000	1.600000	0.038247	0.000000
F2	1.800000	1.620000	0.036344	0.000000
F2	1.800000	1.640000	0.038026	0.000000
F2	1.800000	1.660000	0.042171	0.000000
F2	1.800000	1.680000	0.045845	0.000000
F2	1.850000	1.200000	0.018177	0.000000
F2	1.850000	1.220000	0.022982	0.000000
F2	1.850000	1.240000	0.026190	0.000000
F2	1.850000	1.260000	0.029453	0.000000
F2	1.850000	1.280000	0.029960	0.000000
F2	1.850000	1.300000	0.028798	0.000000
F2	1.850000	1.320000	0.031492	0.000000
F2	1.850000	1.340000	0.034632	0.000000
F2	1.850000	1.360000	0.035858	0.000000
F2	1.850000	1.380000	0.036613	0.000000
F2	1.850000	1.400000	0.036459	0.000000
F2	1.850000	1.420000	0.036788	0.000000
F2	1.850000	1.440000	0.039588	0.000000
F2	1.850000	1.460000	0.044118	0.000000
